Year,Year_2,MANUFACTURER,MODEL,MILLIAGE
2009,2016,Audi,A3,21304
2009,2016,Audi,A5,144609
2009,2016,Audi,Q7,147879
2009,2016,Audi,A4,85289
2012,2019,Acura,TL,100203
2010,2017,BMW,X5,134024
2011,2018,BMW,X5,131895
2010,2017,BMW,X6,38741
2011,2018,BMW,X6,48933
2012,2019,Chevrolet,Colorado,56101
2011,2018,Chevrolet,Colorado,95011
2010,2017,Chevrolet,Colorado,57533
2012,2019,Chevrolet,Express,33342
2011,2018,Chevrolet,Express,125878
2010,2017,Chevrolet,Express,107526
2011,2018,Chevrolet,Silverado,87784
2010,2017,Chevrolet,Silverado,128771
2011,2018,Nissan,370Z,37058
2010,2017,Nissan,370Z,104936
2009,2016,Nissan,370Z,109985
2011,2018,Volvo,C30,65458
2010,2017,Volvo,C30,111585
2010,2017,Bentley,Brooklands,118785
2012,2019,Bentley,Continental,137609
2011,2018,Bentley,Continental,63720
2010,2017,Bentley,Continental,52206
2011,2018,Volvo,C70,73564
2010,2017,Volvo,C70,132372
2010,2017,Volvo,S40,56905
2011,2018,Volvo,S40,23990
2012,2019,Volvo,S60,43036
2011,2018,Volvo,S60,148247
2011,2018,Volvo,S80,25279
2010,2017,Volvo,S80,100195
2011,2018,Volvo,V50,95502
2010,2017,Volvo,V50,133657
2011,2018,Volvo,XC60,26351
2010,2017,Volvo,XC60,89064
2011,2018,Volvo,XC70,54151
2010,2017,Volvo,XC70,41052
2011,2018,Toyota,4Runner,101822
2011,2018,Volvo,XC90,117469
2010,2017,Volvo,XC90,40245
2010,2017,Volvo,V70,139962
2010,2017,Toyota,4Runner,74402
2012,2019,Audi,A3,96728
2010,2017,Honda,Accord,30308
2011,2018,Audi,A3,128600
2010,2017,Audi,A3,69899
2012,2019,Audi,A4,120381
2011,2018,Audi,A4,25266
2012,2019,Ford,Fiesta,35640
2011,2018,Ford,Fiesta,146440
2010,2017,Audi,A4,78431
2011,2018,Honda,Accord,112354
2011,2018,Toyota,Avalon,96937
2010,2017,Toyota,Avalon,21661
2011,2018,Toyota,Camry,56434
2012,2019,Ford,Focus,25666
2011,2018,Ford,Focus,104847
2010,2017,Ford,Focus,131426
2011,2018,Nissan,Altima,42342
2012,2019,Volvo,S80,63837
2012,2019,Volvo,XC60,62054
2012,2019,Volvo,XC70,135674
2012,2019,Volvo,XC90,81710
2010,2017,Nissan,Altima,90736
2010,2017,Toyota,Camry,54770
2010,2017,Bentley,Azure,88496
2011,2018,Toyota,Corolla,116431
2010,2017,Rolls-Royce,Ghost,46503
2011,2018,Audi,A5,127323
2010,2017,Audi,A5,57092
2010,2017,Rolls-Royce,Phantom,55052
2012,2019,Audi,A5,21936
2011,2018,Rolls-Royce,Ghost,109424
2011,2018,Rolls-Royce,Phantom,65113
2011,2018,Volkswagen,Jetta,43547
2010,2017,Toyota,Corolla,85512
2011,2018,Toyota,FJ,33993
2012,2019,Audi,A6,29998
2011,2018,Audi,A6,41217
2010,2017,Volkswagen,Jetta,50853
2010,2017,Toyota,FJ,57913
2011,2018,Toyota,Highlander,76964
2010,2017,Toyota,Highlander,82178
2011,2018,Toyota,Land,78471
2010,2017,Toyota,Land,54829
2011,2018,Toyota,Matrix,58785
2010,2017,Maybach,57,141638
2011,2018,Maybach,57,128367
2010,2017,Maybach,62,102993
2011,2018,Maybach,62,53889
2009,2016,Maybach,Landaulet,110501
2010,2017,Maybach,Landaulet,90153
2011,2018,Maybach,Landaulet,30505
2010,2017,Toyota,Matrix,126691
2011,2018,Nissan,Armada,75789
2011,2018,Chevrolet,Aveo,26346
2010,2017,Volkswagen,CC,139509
2010,2017,Audi,A6,76998
2011,2018,Chevrolet,Aveo5,96437
2012,2019,Audi,A7,139926
2011,2018,Audi,A8,110350
2010,2017,Nissan,Armada,145879
2010,2017,Audi,A8,96866
2011,2018,Nissan,Cube,127775
2010,2017,Nissan,Cube,92456
2012,2019,Audi,Q5,91920
2011,2018,Audi,Q5,44687
2010,2017,Audi,Q5,22739
2009,2016,Audi,Q5,54895
2011,2018,Honda,Civic,30154
2012,2019,Audi,Q7,51909
2010,2017,Lamborghini,Gallardo,91536
2010,2017,Chevrolet,Aveo5,127892
2010,2017,Lexus,LS,148099
2011,2018,Lamborghini,Gallardo,40072
2012,2019,Hyundai,Accent,68830
2011,2018,Lexus,LS,48274
2011,2018,Hyundai,Accent,94268
2010,2017,Hyundai,Accent,64629
2011,2018,Hyundai,Azera,45059
2010,2017,Hyundai,Azera,111080
2011,2018,Audi,Q7,82190
2010,2017,Audi,Q7,136772
2011,2018,Toyota,RAV4,145861
2009,2016,Nissan,Cube,81232
2012,2019,Chevrolet,Camaro,96064
2011,2018,Nissan,Juke,103296
2011,2018,Chevrolet,Camaro,44259
2010,2017,Mercedes-Benz,C-Class,125607
2010,2017,BMW,1,27351
2012,2019,Hyundai,Elantra,64058
2011,2018,Hyundai,Elantra,103732
2010,2017,Hyundai,Elantra,134632
2012,2019,Ford,Fusion,70603
2011,2018,Volkswagen,CC,102083
2011,2018,Ford,Fusion,132425
2010,2017,Ford,Fusion,50897
2011,2018,Kia,Forte,65342
2011,2018,Audi,R8,59457
2010,2017,Kia,Forte,54325
2012,2019,Audi,R8,35131
2009,2016,Hyundai,Elantra,149272
2011,2018,Hyundai,Equus,122932
2012,2019,Hyundai,Genesis,134566
2011,2018,Kia,Optima,79008
2010,2017,Honda,Civic,52222
2010,2017,Kia,Optima,34902
2011,2018,Kia,Rio,73669
2011,2018,Hyundai,Genesis,104270
2010,2017,Hyundai,Genesis,50022
2010,2017,Volkswagen,GTI,92768
2011,2018,Volkswagen,GTI,136417
2012,2019,Ford,Mustang,49538
2011,2018,Ford,Mustang,126319
2011,2018,Mercedes-Benz,C-Class,93937
2011,2018,Kia,Rio5,78285
2010,2017,Kia,Rio5,88468
2010,2017,Kia,Rio,106682
2011,2018,Kia,Soul,50597
2010,2017,Ford,Mustang,143023
2010,2017,Kia,Soul,54195
2010,2017,Audi,R8,51791
2012,2019,Kia,Sedona,33085
2011,2018,Ford,Shelby,93512
2011,2018,Kia,Sedona,141316
2010,2017,Kia,Sedona,130387
2012,2019,Kia,Sorento,148358
2012,2019,Audi,S4,74206
2010,2017,Chevrolet,Camaro,114008
2011,2018,Audi,S4,148986
2011,2018,Kia,Sorento,93472
2012,2019,Kia,Sportage,111457
2010,2017,Volkswagen,Golf,84003
2011,2018,Kia,Sportage,97107
2010,2017,Audi,S4,141606
2010,2017,Kia,Sportage,122784
2011,2018,Nissan,Pathfinder,119662
2011,2018,Hyundai,Santa,21811
2010,2017,Hyundai,Santa,98923
2012,2019,Ford,Taurus,130814
2011,2018,Ford,Taurus,80803
2010,2017,Ford,Taurus,39998
2011,2018,Volkswagen,Golf,98076
2011,2018,Ford,Edge,137698
2012,2019,Audi,S5,119817
2012,2019,Ford,Edge,130963
2010,2017,Ford,Edge,68325
2011,2018,Audi,S5,147953
2010,2017,Audi,S5,144214
2011,2018,Audi,S6,121032
2010,2017,Audi,S6,125364
2012,2019,Chevrolet,Corvette,146056
2011,2018,Chevrolet,Corvette,107288
2010,2017,Chevrolet,Corvette,41349
2010,2017,Nissan,Pathfinder,33479
2010,2017,Volkswagen,Routan,70582
2009,2016,Nissan,Pathfinder,37805
2011,2018,Volkswagen,Routan,28628
2010,2017,Volkswagen,Tiguan,145743
2012,2019,Hyundai,Sonata,38889
2011,2018,Hyundai,Sonata,119934
2010,2017,Hyundai,Sonata,82571
2011,2018,Honda,CR-Z,143450
2011,2018,Hyundai,Veracruz,63881
2010,2017,Hyundai,Veracruz,47792
2011,2018,Honda,Fit,24340
2012,2019,Hyundai,Tucson,50628
2011,2018,Mazda,CX-7,76240
2012,2019,Ford,Flex,43900
2010,2017,Honda,Fit,70845
2011,2018,Ford,Flex,35292
2010,2017,Mazda,CX-7,82481
2011,2018,Hyundai,Tucson,145498
2010,2017,Ford,Flex,49949
2011,2018,Mazda,CX-9,72566
2011,2018,Volkswagen,Tiguan,70887
2010,2017,Volkswagen,Touareg,62617
2010,2017,Mercedes-Benz,CL-Class,48288
2011,2018,BMW,1,145241
2011,2018,Mercedes-Benz,CL-Class,135363
2010,2017,Hyundai,Tucson,116639
2010,2017,Mercedes-Benz,CLS-Class,108547
2011,2018,Mercedes-Benz,CLS-Class,47037
2012,2019,Mitsubishi,Eclipse,102000
2011,2018,Mitsubishi,Eclipse,104296
2010,2017,Mitsubishi,Eclipse,58208
2010,2017,Toyota,RAV4,138282
2011,2018,Mitsubishi,Endeavor,83100
2010,2017,Mitsubishi,Endeavor,80337
2011,2018,Mitsubishi,Galant,25364
2010,2017,Mitsubishi,Galant,129386
2011,2018,Cadillac,CTS-V,106399
2011,2018,Mitsubishi,Lancer,46898
2010,2017,Mitsubishi,Lancer,100728
2010,2017,Cadillac,CTS-V,86548
2011,2018,Cadillac,CTS,103306
2010,2017,Cadillac,CTS,113894
2011,2018,Toyota,Sequoia,70513
2010,2017,BMW,3,32515
2009,2016,Infiniti,EX,57596
2011,2018,Mercedes-Benz,E-Class,33300
2011,2018,BMW,3,148209
2010,2017,Infiniti,EX,77520
2010,2017,Mercedes-Benz,E-Class,67364
2011,2018,Nissan,Sentra,85725
2010,2017,Mercedes-Benz,G-Class,65688
2011,2018,Mercedes-Benz,G-Class,107514
2011,2018,Cadillac,Escalade,116071
2011,2018,Mitsubishi,Outlander,82380
2010,2017,Mitsubishi,Outlander,73295
2010,2017,Toyota,Sequoia,114375
2011,2018,Cadillac,DTS,96287
2011,2018,Infiniti,EX,70136
2010,2017,Mercedes-Benz,GL-Class,49436
2010,2017,Nissan,Sentra,97489
2011,2018,Mercedes-Benz,GL-Class,133502
2011,2018,Nissan,Versa,21048
2010,2017,Nissan,Versa,149626
2010,2017,Mercedes-Benz,GLK-Class,95855
2011,2018,Mercedes-Benz,GLK-Class,79131
2012,2019,Ford,Escape,37578
2011,2018,Ford,Escape,52432
2010,2017,Mercedes-Benz,R-Class,22997
2011,2018,Mercedes-Benz,R-Class,145775
2012,2019,Chevrolet,Cruze,122093
2011,2018,Chevrolet,Cruze,74158
2011,2018,Cadillac,SRX,138437
2010,2017,Ford,Escape,77548
2010,2017,Cadillac,Escalade,76470
2011,2018,Dodge,Avenger,56408
2011,2018,Honda,CR-V,67379
2010,2017,Dodge,Avenger,82458
2010,2017,Honda,CR-V,35148
2010,2017,Cadillac,DTS,100065
2011,2018,Honda,Element,27574
2010,2017,Cadillac,SRX,20082
2011,2018,Nissan,Xterra,100754
2010,2017,Nissan,Xterra,105718
2012,2019,Nissan,Altima,135797
2010,2017,BMW,5,41838
2010,2017,Mercedes-Benz,M-Class,125759
2011,2018,Mercedes-Benz,M-Class,77178
2012,2019,Nissan,Sentra,89045
2012,2019,Nissan,Versa,129491
2011,2018,Toyota,Sienna,140804
2011,2018,BMW,5,97872
2011,2018,Mercedes-Benz,SL-Class,83016
2010,2017,Mercedes-Benz,SLK-Class,73328
2011,2018,Mercedes-Benz,SLK-Class,115328
2011,2018,Lincoln,MKS,129775
2010,2017,Lincoln,MKS,79653
2011,2018,Lincoln,MKT,94258
2010,2017,Lincoln,MKT,92084
2011,2018,Lincoln,MKX,104890
2010,2017,Lincoln,MKX,61331
2011,2018,Lincoln,MKZ,29864
2010,2017,Lincoln,MKZ,55539
2010,2017,Mazda,CX-9,59407
2010,2017,Toyota,Sienna,136369
2010,2017,Honda,Element,102590
2011,2018,Mazda,Mazda2,69920
2011,2018,Mazda,Mazda3,119099
2012,2019,Ford,Explorer,61528
2010,2017,Mazda,Mazda3,91152
2011,2018,Ford,Explorer,65904
2011,2018,Mazda,Mazdaspeed3,65681
2010,2017,Mazda,Mazdaspeed3,48670
2010,2017,Ford,Explorer,98750
2012,2019,Mazda,Mazda5,108655
2010,2017,Mazda,Mazda5,123653
2011,2018,Honda,Pilot,122194
2012,2019,Mazda,Mazda6,99738
2011,2018,Lincoln,Navigator,68536
2010,2017,Lincoln,Navigator,117496
2011,2018,Lincoln,Town,122954
2010,2017,Lincoln,Town,83645
2010,2017,Infiniti,FX,106694
2011,2018,Infiniti,FX,113398
2012,2019,Infiniti,M,21025
2011,2018,Cadillac,STS,20324
2009,2016,Infiniti,M,107904
2011,2018,Dodge,Caliber,23031
2010,2017,Dodge,Caliber,114071
2011,2018,Dodge,Challenger,68165
2010,2017,BMW,6,138689
2010,2017,Infiniti,M,54694
2010,2017,Dodge,Challenger,143293
2011,2018,Infiniti,M,114837
2011,2018,Toyota,Venza,49021
2010,2017,Cadillac,STS,76534
2011,2018,Ford,Expedition,57084
2011,2018,Dodge,Charger,30394
2011,2018,Mazda,Mazda6,109468
2011,2018,GMC,Acadia,68955
2010,2017,Mazda,Mazda6,113521
2010,2017,Dodge,Charger,45314
2011,2018,Dodge,Durango,97415
2010,2017,Ford,Expedition,95262
2011,2018,Mazda,MX-5,87977
2010,2017,Mazda,MX-5,49228
2011,2018,Mazda,RX-8,123603
2011,2018,Infiniti,G25,125633
2010,2017,Mazda,RX-8,131793
2010,2017,Toyota,Venza,25695
2011,2018,Toyota,Yaris,127770
2012,2019,Chevrolet,Equinox,116354
2010,2017,Toyota,Yaris,98101
2011,2018,Chevrolet,Equinox,114841
2012,2019,Ford,Transit,32302
2011,2018,Transit,Connect,110158
2010,2017,Transit,Connect,93861
2010,2017,Ford,Crown,67347
2011,2018,Porsche,911,96714
2009,2016,Infiniti,G37,72700
2011,2018,Mazda,Tribute,44996
2010,2017,Mazda,Tribute,96533
2012,2019,Toyota,Yaris,146687
2011,2018,Dodge,Grand,41736
2010,2017,Jeep,Commander,61898
2011,2018,Jeep,Compass,123595
2010,2017,GMC,Acadia,98714
2011,2018,GMC,Canyon,105866
2010,2017,GMC,Terrain,33275
2010,2017,GMC,Canyon,145567
2010,2017,Infiniti,G37,67377
2010,2017,Honda,Pilot,34518
2012,2019,Toyota,Highlander,35074
2010,2017,Dodge,Grand,105110
2010,2017,Jeep,Compass,29486
2011,2018,Dodge,Journey,54662
2011,2018,Infiniti,G37,23787
2009,2016,BMW,7,109542
2010,2017,BMW,7,139885
2010,2017,Chevrolet,Equinox,91599
2011,2018,BMW,7,31985
2010,2017,Dodge,Journey,49848
2011,2018,BMW,ActiveHybrid,88591
2011,2018,Dodge,Nitro,109921
2011,2018,BMW,ALPINA,64671
2010,2017,Lexus,ES,38346
2010,2017,Dodge,Nitro,111604
2011,2018,Infiniti,IPL,78660
2011,2018,GMC,Terrain,37228
2011,2018,GMC,Yukon,148225
2010,2017,Porsche,911,125346
2010,2017,GMC,Yukon,31851
2010,2017,Infiniti,QX56,105137
2011,2018,Infiniti,QX56,114689
2010,2017,Acura,MDX,100704
2011,2018,Acura,MDX,118484
2010,2017,Acura,RDX,127707
2011,2018,Acura,RDX,104985
2010,2017,BMW,M3,120421
2010,2017,Acura,ZDX,65582
2011,2018,Acura,ZDX,37358
2011,2018,BMW,M3,33984
2010,2017,Acura,RL,104270
2011,2018,Acura,RL,23644
2010,2017,Acura,TL,52838
2011,2018,Acura,TL,112302
2010,2017,Acura,TSX,107817
2011,2018,Acura,TSX,41213
2011,2018,GMC,Savana,123681
2011,2018,Porsche,Boxster,73561
2010,2017,Dodge,Viper,101686
2010,2017,Porsche,Boxster,27227
2011,2018,Porsche,Cayenne,105001
2010,2017,Porsche,Cayenne,87778
2011,2018,Chevrolet,HHR,67292
2010,2017,Chevrolet,HHR,75867
